Unit of measure;airpol;Air pollutants and greenhouse gases;src_crf;Source sectors for greenhouse gas emissions (Common reporting format, UNFCCC);TIME_PERIOD;Time;OBS_VALUE
Million tonnes;CO2;Carbon dioxide;CRF1A1;Fuel combustion in energy industries;2014;;14.43937
Million tonnes;CO2;Carbon dioxide;CRF1A1;Fuel combustion in energy industries;2015;;18.23832
Million tonnes;CO2;Carbon dioxide;CRF1A1;Fuel combustion in energy industries;2016;;17.29022
Million tonnes;CO2;Carbon dioxide;CRF1A1;Fuel combustion in energy industries;2017;;21.12857
Million tonnes;CO2;Carbon dioxide;CRF1A1;Fuel combustion in energy industries;2018;;17.72113
Million tonnes;CO2;Carbon dioxide;CRF1A1;Fuel combustion in energy industries;2019;;12.91864
Million tonnes;CO2;Carbon dioxide;CRF1A1;Fuel combustion in energy industries;2020;;10.26731
Million tonnes;CO2;Carbon dioxide;CRF1A1;Fuel combustion in energy industries;2021;;8.20395
Million tonnes;CO2;Carbon dioxide;CRF1A1;Fuel combustion in energy industries;2022;;8.2515
Million tonnes;CO2;Carbon dioxide;CRF1A1;Fuel combustion in energy industries;2023;;5.76535
Million tonnes;CO2;Carbon dioxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2004;;67.51682
Million tonnes;CO2;Carbon dioxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2005;;69.84377
Million tonnes;CO2;Carbon dioxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2006;;65.0594
Million tonnes;CO2;Carbon dioxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2007;;62.58793
Million tonnes;CO2;Carbon dioxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2008;;60.1964
Million tonnes;CO2;Carbon dioxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2009;;57.31872
Million tonnes;CO2;Carbon dioxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2010;;53.07575
Million tonnes;CO2;Carbon dioxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2011;;51.959
Million tonnes;CO2;Carbon dioxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2012;;50.11307
Million tonnes;CO2;Carbon dioxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2013;;48.31164
Million tonnes;CO2;Carbon dioxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2014;;48.09986
Million tonnes;CO2;Carbon dioxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2015;;52.39408
Million tonnes;CO2;Carbon dioxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2016;;50.46479
Million tonnes;CO2;Carbon dioxide;TOTX4_MEMO;Total (excluding LULUCF and memo items);2017;;55.32494
